num_negative_pairs,num_epochs,margin,num_augmentations,test_set,auc,f1,specificity,sensitivity,accuracy,gallery1_rank1,gallery1_rank5,gallery2_rank1,gallery2_rank5
5,5,0.5,2,Overall,0.8143,0.4746,0.8400,0.8235,0.8385,,,,
5,5,0.5,2,Easy,,,,,,,,,
5,5,0.5,2,Normal,,,,,,,,,
5,5,0.5,2,Hard,,,,,,,,,
5,5,0.5,3,Overall,0.8143,0.4746,0.8400,0.8235,0.8385,,,,
5,5,0.5,3,Easy,,,,,,,,,
5,5,0.5,3,Normal,,,,,,,,,
5,5,0.5,3,Hard,,,,,,,,,
5,5,1.0,2,Overall,0.8198,0.4516,0.8229,0.8235,0.8229,,,,
5,5,1.0,2,Easy,,,,,,,,,
5,5,1.0,2,Normal,,,,,,,,,
5,5,1.0,2,Hard,,,,,,,,,
5,5,1.0,3,Overall,0.8198,0.4516,0.8229,0.8235,0.8229,,,,
5,5,1.0,3,Easy,,,,,,,,,
5,5,1.0,3,Normal,,,,,,,,,
5,5,1.0,3,Hard,,,,,,,,,
5,10,0.5,2,Overall,0.8410,0.4444,0.8171,0.8235,0.8177,,,,
5,10,0.5,2,Easy,,,,,,,,,
5,10,0.5,2,Normal,,,,,,,,,
5,10,0.5,2,Hard,,,,,,,,,
5,10,0.5,3,Overall,0.8410,0.4444,0.8171,0.8235,0.8177,,,,
5,10,0.5,3,Easy,,,,,,,,,
5,10,0.5,3,Normal,,,,,,,,,
5,10,0.5,3,Hard,,,,,,,,,
5,10,1.0,2,Overall,0.7946,0.5200,0.8857,0.7647,0.8750,,,,
5,10,1.0,2,Easy,,,,,,,,,
5,10,1.0,2,Normal,,,,,,,,,
5,10,1.0,2,Hard,,,,,,,,,
5,10,1.0,3,Overall,0.7946,0.5200,0.8857,0.7647,0.8750,,,,
5,10,1.0,3,Easy,,,,,,,,,
5,10,1.0,3,Normal,,,,,,,,,
5,10,1.0,3,Hard,,,,,,,,,
5,30,0.5,2,Overall,0.8558,0.4110,0.7657,0.8824,0.7760,,,,
5,30,0.5,2,Easy,,,,,,,,,
5,30,0.5,2,Normal,,,,,,,,,
5,30,0.5,2,Hard,,,,,,,,,
5,30,0.5,3,Overall,0.8558,0.4110,0.7657,0.8824,0.7760,,,,
5,30,0.5,3,Easy,,,,,,,,,
5,30,0.5,3,Normal,,,,,,,,,
5,30,0.5,3,Hard,,,,,,,,,
5,30,1.0,2,Overall,0.8494,0.4516,0.8229,0.8235,0.8229,,,,
5,30,1.0,2,Easy,,,,,,,,,
5,30,1.0,2,Normal,,,,,,,,,
5,30,1.0,2,Hard,,,,,,,,,
5,30,1.0,3,Overall,0.8494,0.4516,0.8229,0.8235,0.8229,,,,
5,30,1.0,3,Easy,,,,,,,,,
5,30,1.0,3,Normal,,,,,,,,,
5,30,1.0,3,Hard,,,,,,,,,
10,5,0.5,2,Overall,0.8057,0.4746,0.8400,0.8235,0.8385,,,,
10,5,0.5,2,Easy,,,,,,,,,
10,5,0.5,2,Normal,,,,,,,,,
10,5,0.5,2,Hard,,,,,,,,,
10,5,0.5,3,Overall,0.8057,0.4746,0.8400,0.8235,0.8385,,,,
10,5,0.5,3,Easy,,,,,,,,,
10,5,0.5,3,Normal,,,,,,,,,
10,5,0.5,3,Hard,,,,,,,,,
10,5,1.0,2,Overall,0.8025,0.4828,0.8457,0.8235,0.8438,,,,
10,5,1.0,2,Easy,,,,,,,,,
10,5,1.0,2,Normal,,,,,,,,,
10,5,1.0,2,Hard,,,,,,,,,
