num_negative_pairs,num_epochs,margin,num_augmentations,test_set,auc,f1,specificity,sensitivity,accuracy,gallery1_rank1,gallery1_rank5,gallery2_rank1,gallery2_rank5
5,5,0.5,2,Overall,0.8013,0.4058,0.7829,0.8235,0.7865,,,,
5,5,0.5,2,Easy,,,,,,,,,
5,5,0.5,2,Normal,,,,,,,,,
5,5,0.5,2,Hard,,,,,,,,,
5,5,0.5,3,Overall,0.8013,0.4058,0.7829,0.8235,0.7865,,,,
5,5,0.5,3,Easy,,,,,,,,,
5,5,0.5,3,Normal,,,,,,,,,
5,5,0.5,3,Hard,,,,,,,,,
5,5,1.0,2,Overall,0.7845,0.3939,0.7943,0.7647,0.7917,,,,
5,5,1.0,2,Easy,,,,,,,,,
5,5,1.0,2,Normal,,,,,,,,,
5,5,1.0,2,Hard,,,,,,,,,
5,5,1.0,3,Overall,0.7845,0.3939,0.7943,0.7647,0.7917,,,,
5,5,1.0,3,Easy,,,,,,,,,
5,5,1.0,3,Normal,,,,,,,,,
5,5,1.0,3,Hard,,,,,,,,,
5,10,0.5,2,Overall,0.7669,0.4483,0.8400,0.7647,0.8333,,,,
5,10,0.5,2,Easy,,,,,,,,,
5,10,0.5,2,Normal,,,,,,,,,
5,10,0.5,2,Hard,,,,,,,,,
5,10,0.5,3,Overall,0.7669,0.4483,0.8400,0.7647,0.8333,,,,
5,10,0.5,3,Easy,,,,,,,,,
5,10,0.5,3,Normal,,,,,,,,,
5,10,0.5,3,Hard,,,,,,,,,
5,10,1.0,2,Overall,0.7943,0.4118,0.7886,0.8235,0.7917,,,,
5,10,1.0,2,Easy,,,,,,,,,
5,10,1.0,2,Normal,,,,,,,,,
5,10,1.0,2,Hard,,,,,,,,,
5,10,1.0,3,Overall,0.7943,0.4118,0.7886,0.8235,0.7917,,,,
5,10,1.0,3,Easy,,,,,,,,,
5,10,1.0,3,Normal,,,,,,,,,
5,10,1.0,3,Hard,,,,,,,,,
5,30,0.5,2,Overall,0.7802,0.2804,0.5714,0.8824,0.5990,,,,
5,30,0.5,2,Easy,,,,,,,,,
5,30,0.5,2,Normal,,,,,,,,,
5,30,0.5,2,Hard,,,,,,,,,
5,30,0.5,3,Overall,0.7802,0.2804,0.5714,0.8824,0.5990,,,,
5,30,0.5,3,Easy,,,,,,,,,
5,30,0.5,3,Normal,,,,,,,,,
5,30,0.5,3,Hard,,,,,,,,,
5,30,1.0,2,Overall,0.7899,0.4444,0.8171,0.8235,0.8177,,,,
5,30,1.0,2,Easy,,,,,,,,,
5,30,1.0,2,Normal,,,,,,,,,
5,30,1.0,2,Hard,,,,,,,,,
5,30,1.0,3,Overall,0.7899,0.4444,0.8171,0.8235,0.8177,,,,
5,30,1.0,3,Easy,,,,,,,,,
5,30,1.0,3,Normal,,,,,,,,,
5,30,1.0,3,Hard,,,,,,,,,
10,5,0.5,2,Overall,0.7516,0.3934,0.8171,0.7059,0.8073,,,,
10,5,0.5,2,Easy,,,,,,,,,
10,5,0.5,2,Normal,,,,,,,,,
10,5,0.5,2,Hard,,,,,,,,,
10,5,0.5,3,Overall,0.7516,0.3934,0.8171,0.7059,0.8073,,,,
10,5,0.5,3,Easy,,,,,,,,,
10,5,0.5,3,Normal,,,,,,,,,
10,5,0.5,3,Hard,,,,,,,,,
10,5,1.0,2,Overall,0.8071,0.4906,0.8686,0.7647,0.8594,,,,
10,5,1.0,2,Easy,,,,,,,,,
10,5,1.0,2,Normal,,,,,,,,,
10,5,1.0,2,Hard,,,,,,,,,
10,5,1.0,3,Overall,0.8071,0.4906,0.8686,0.7647,0.8594,,,,
10,5,1.0,3,Easy,,,,,,,,,
10,5,1.0,3,Normal,,,,,,,,,
10,5,1.0,3,Hard,,,,,,,,,
10,10,0.5,2,Overall,0.7963,0.4590,0.8286,0.8235,0.8281,,,,
10,10,0.5,2,Easy,,,,,,,,,
10,10,0.5,2,Normal,,,,,,,,,
10,10,0.5,2,Hard,,,,,,,,,
10,10,0.5,3,Overall,0.7963,0.4590,0.8286,0.8235,0.8281,,,,
10,10,0.5,3,Easy,,,,,,,,,
10,10,0.5,3,Normal,,,,,,,,,
10,10,0.5,3,Hard,,,,,,,,,
10,10,1.0,2,Overall,0.7590,0.4706,0.8743,0.7059,0.8594,,,,
10,10,1.0,2,Easy,,,,,,,,,
10,10,1.0,2,Normal,,,,,,,,,
10,10,1.0,2,Hard,,,,,,,,,
10,10,1.0,3,Overall,0.7590,0.4706,0.8743,0.7059,0.8594,,,,
10,10,1.0,3,Easy,,,,,,,,,
10,10,1.0,3,Normal,,,,,,,,,
10,10,1.0,3,Hard,,,,,,,,,
10,30,0.5,2,Overall,0.8185,0.4262,0.8229,0.7647,0.8177,,,,
10,30,0.5,2,Easy,,,,,,,,,
10,30,0.5,2,Normal,,,,,,,,,
10,30,0.5,2,Hard,,,,,,,,,
10,30,0.5,3,Overall,0.8185,0.4262,0.8229,0.7647,0.8177,,,,
10,30,0.5,3,Easy,,,,,,,,,
10,30,0.5,3,Normal,,,,,,,,,
10,30,0.5,3,Hard,,,,,,,,,
