num_negative_pairs,num_epochs,margin,num_augmentations,test_set,auc,f1,specificity,sensitivity,accuracy,gallery1_rank1,gallery1_rank5,gallery2_rank1,gallery2_rank5
5,5,0.5,2,Overall,,,,,,,,,
5,5,0.5,2,Easy,,,,,,,,,
5,5,0.5,2,Normal,,,,,,,,,
5,5,0.5,2,Hard,,,,,,,,,
5,5,0.5,3,Overall,,,,,,,,,
5,5,0.5,3,Easy,,,,,,,,,
5,5,0.5,3,Normal,,,,,,,,,
5,5,0.5,3,Hard,,,,,,,,,
5,5,1.0,2,Overall,,,,,,,,,
5,5,1.0,2,Easy,,,,,,,,,
5,5,1.0,2,Normal,,,,,,,,,
5,5,1.0,2,Hard,,,,,,,,,
5,5,1.0,3,Overall,,,,,,,,,
5,5,1.0,3,Easy,,,,,,,,,
5,5,1.0,3,Normal,,,,,,,,,
5,5,1.0,3,Hard,,,,,,,,,
5,10,0.5,2,Overall,,,,,,,,,
5,10,0.5,2,Easy,,,,,,,,,
5,10,0.5,2,Normal,,,,,,,,,
5,10,0.5,2,Hard,,,,,,,,,
5,10,0.5,3,Overall,,,,,,,,,
5,10,0.5,3,Easy,,,,,,,,,
5,10,0.5,3,Normal,,,,,,,,,
5,10,0.5,3,Hard,,,,,,,,,
5,10,1.0,2,Overall,,,,,,,,,
5,10,1.0,2,Easy,,,,,,,,,
5,10,1.0,2,Normal,,,,,,,,,
5,10,1.0,2,Hard,,,,,,,,,
